StoryID,TokenID,Annotator_Agreement,is_last,word_length,is_capitalized,is_function_word,pos_tag,dep_tag,tag,raw_frequency,language_model_score,sentence_position,num_syllables,syllables_since_last_major_boundary_child,syllables_remaining_till_breath_child,breath_pause_flag_child,cluster_id,tree_depth,tree_width,depth_in_tree,distance_from_root,smallest_constituent_label,smallest_constituent_length,is_constituent_chunk_end,distance_from_phrase_head,forward_position,backward_position,min_span_tree_label_with_next,min_span_tree_length_with_next
G7S1,G7010030,0,FALSE,8,FALSE,FALSE,ADJ,amod,JJ,1,0,17,3,4,3,0,4,8,19,8,8,NP,3,0,1,1,1,NP,3
G7S1,G7010031,6,TRUE,8,FALSE,FALSE,NOUN,dobj,NN,1,0,18,3,0,0,1,4,8,19,8,8,NP,3,1,2,2,0,S,19
G7S1,G7010032,1,FALSE,3,TRUE,TRUE,CCONJ,cc,CC,50,-0.928922832,1,1,1,6,0,0,10,22,2,2,S,22,0,0,0,21,S,22
G7S1,G7010033,0,FALSE,2,FALSE,TRUE,ADP,prep,IN,164,-0.02420877293,2,1,2,5,0,0,10,22,3,3,VP,3,1,17,2,0,PP,4
G7S1,G7010034,0,FALSE,4,FALSE,TRUE,DET,det,DT,114,-1.983098507,3,1,3,4,0,0,10,22,4,4,NP,3,0,0,0,2,NP,3
G7S1,G7010035,0,FALSE,5,FALSE,FALSE,ADJ,amod,JJ,9,-3.629720211,4,1,4,3,0,0,10,22,4,4,NP,3,0,1,1,1,NP,3
G7S1,G7010036,7,FALSE,5,FALSE,FALSE,NOUN,pobj,NN,8,-2.717085123,5,1,5,2,0,0,10,22,4,4,NP,3,1,2,2,0,S,22
G7S1,G7010037,0,FALSE,5,FALSE,TRUE,PRON,expl,EX,40,-15.02147865,7,1,6,1,0,0,10,22,3,3,S,22,1,6,6,15,S,22
G7S1,G7010038,0,FALSE,4,FALSE,TRUE,VERB,ROOT,VBD,36,-16.31830025,8,1,0,0,1,0,10,22,3,3,VP,14,0,0,0,13,VP,14
G7S1,G7010039,0,FALSE,2,FALSE,TRUE,DET,det,DT,19,-17.03074455,9,1,1,6,0,0,10,22,6,6,NP,2,0,0,0,1,NP,2
G7S1,G7010040,0,FALSE,5,FALSE,FALSE,NOUN,attr,NNS,1,-15.9776535,10,1,2,5,0,4,10,22,6,6,NP,2,1,1,1,0,NP,5
G7S1,G7010041,0,FALSE,1,TRUE,TRUE,PRON,nsubj,PRP,35,-20.21342468,11,1,3,4,0,1,10,22,8,8,SBAR,3,1,0,0,2,S,3
G7S1,G7010042,0,FALSE,5,FALSE,TRUE,AUX,aux,MD,30,-17.21057892,12,1,4,3,0,0,10,22,8,8,VP,2,0,0,0,1,VP,2
G7S1,G7010043,6,FALSE,4,FALSE,FALSE,VERB,relcl,VB,2,-17.65804291,13,1,5,2,0,0,10,22,9,9,VP,2,1,1,1,0,NP,13
G7S1,G7010044,2,FALSE,3,FALSE,TRUE,CCONJ,cc,CC,239,-13.13601494,14,1,6,1,0,3,10,22,4,4,NP,13,0,5,5,7,NP,13
G7S1,G7010045,0,FALSE,2,FALSE,TRUE,DET,det,DT,19,-13.5031147,15,1,0,0,1,0,10,22,6,6,NP,2,0,0,0,1,NP,13
G7S1,G7010046,0,FALSE,6,FALSE,FALSE,NOUN,conj,NNS,1,-16.71562386,16,1,1,6,0,4,10,22,6,6,NP,2,1,7,1,0,NP,13
G7S1,G7010047,0,FALSE,1,TRUE,TRUE,PRON,nsubj,PRP,35,-19.19097328,17,1,2,5,0,1,10,22,8,8,SBAR,3,1,0,0,2,S,3
G7S1,G7010048,0,FALSE,5,FALSE,TRUE,AUX,aux,MD,30,-17.48398972,18,1,3,4,0,0,10,22,8,8,VP,2,0,0,0,1,NP,13
G7S1,G7010049,0,FALSE,4,FALSE,TRUE,VERB,relcl,VB,7,-15.16470051,19,1,4,3,0,0,10,22,9,9,VP,3,0,0,0,2,VP,3
G7S1,G7010050,0,FALSE,4,FALSE,TRUE,NOUN,dobj,NN,3,-22.70021057,20,1,5,2,0,4,10,22,10,10,VP,3,1,1,1,1,S,22
G7S1,G7010051,6,TRUE,2,FALSE,TRUE,ADP,prep,IN,164,0,21,1,0,1,1,4,10,22,3,3,VP,3,1,17,2,0,S,22
G7S1,G7010052,0,FALSE,5,TRUE,TRUE,PRON,expl,EX,40,-0.001874596113,1,1,1,6,0,0,8,20,4,4,S,9,1,0,0,8,S,9
G7S1,G7010053,0,FALSE,3,FALSE,TRUE,VERB,ROOT,VBD,130,-0.003414635547,2,1,2,5,0,3,8,20,4,4,VP,5,0,0,0,4,VP,8
G7S1,G7010054,0,FALSE,1,FALSE,TRUE,DET,det,DT,222,-0.006629023235,3,1,3,4,0,0,8,20,6,6,NP,4,0,0,0,3,NP,4
G7S1,G7010055,1,FALSE,6,FALSE,FALSE,ADJ,amod,JJ,1,-1.263296604,4,2,5,2,0,0,8,20,6,6,NP,4,0,1,1,2,NP,4
G7S1,G7010056,0,FALSE,3,FALSE,FALSE,NOUN,compound,NN,1,-7.233519554,5,1,6,1,0,4,8,20,6,6,NP,4,0,2,2,1,NP,4
G7S1,G7010057,2,FALSE,4,FALSE,FALSE,NOUN,attr,NN,1,-1.212794781,6,1,0,0,1,4,8,20,6,6,NP,4,1,3,3,0,NP,7
G7S1,G7010058,0,FALSE,6,FALSE,TRUE,ADP,prep,IN,6,-4.008942604,7,2,2,5,0,4,8,20,6,6,PP,3,0,0,0,2,PP,3
G7S1,G7010059,0,FALSE,3,FALSE,TRUE,DET,det,DT,616,-0.01016168855,8,1,3,4,0,3,8,20,7,7,NP,2,0,0,0,1,NP,2
G7S1,G7010060,7,FALSE,7,FALSE,FALSE,NOUN,pobj,NN,6,-5.389718056,9,2,5,2,0,0,8,20,7,7,NP,2,1,1,1,0,S,20
G7S1,G7010061,0,FALSE,3,FALSE,TRUE,CCONJ,cc,CC,239,-10.36971569,11,1,6,1,0,3,8,20,2,2,S,20,0,10,10,9,S,20
G7S1,G7010062,0,FALSE,1,TRUE,TRUE,PRON,nsubj,PRP,35,-16.11437798,12,1,0,0,1,1,8,20,4,4,S,8,1,0,0,7,S,8
G7S1,G7010063,3,FALSE,7,FALSE,FALSE,VERB,conj,VBD,11,-12.17282772,13,1,1,6,0,0,8,20,4,4,VP,7,0,0,0,6,VP,7
G7S1,G7010064,0,FALSE,2,FALSE,TRUE,PRON,nsubj,PRP,132,-13.59290695,14,1,2,5,0,0,8,20,7,7,SBAR,6,1,0,0,5,S,20
G7S1,G7010065,0,FALSE,3,FALSE,TRUE,AUX,ccomp,VBD,130,-18.03803253,15,1,3,4,0,0,8,20,4,4,VP,5,0,0,0,4,VP,8
G7S1,G7010066,0,FALSE,1,FALSE,TRUE,DET,det,DT,222,-9.373783112,16,1,4,3,0,0,8,20,6,6,NP,4,0,0,0,3,S,20
G7S1,G7010067,0,FALSE,4,FALSE,FALSE,ADJ,amod,JJ,6,-6.508263588,17,1,5,2,0,0,8,20,8,8,NP,4,0,14,1,2,NP,4
G7S1,G7010068,0,FALSE,7,FALSE,FALSE,NOUN,compound,NN,1,-28.17999458,18,2,0,0,1,4,8,20,8,8,NP,4,0,15,2,1,NP,4
G7S1,G7010069,6,TRUE,4,FALSE,FALSE,NOUN,attr,NN,4,0,19,1,0,6,1,4,8,20,8,8,NP,4,1,16,3,0,S,20
G7S1,G7010070,0,FALSE,1,TRUE,TRUE,PRON,nsubj,PRP,35,-0.007545423694,1,1,1,6,0,1,7,12,4,4,S,4,1,0,0,3,S,5
G7S1,G7010071,0,FALSE,3,FALSE,TRUE,AUX,aux,VBD,68,-0.01310591772,2,1,2,5,0,1,7,12,4,4,VP,4,0,0,0,3,VP,4
G7S1,G7010072,0,FALSE,5,FALSE,TRUE,ADV,neg,RB,5,-0.06426763535,3,2,4,3,0,0,7,12,5,5,VP,4,0,1,1,2,VP,4
G7S1,G7010073,0,FALSE,6,FALSE,FALSE,VERB,ROOT,VBN,1,-12.32386875,4,2,6,1,0,4,7,12,5,5,VP,2,0,0,0,1,VP,2
G7S1,G7010074,7,FALSE,6,FALSE,TRUE,ADV,advmod,RB,8,-1.388163447,5,2,0,0,1,3,7,12,6,6,VP,2,1,1,1,0,S,12
G7S1,G7010075,0,FALSE,3,FALSE,TRUE,CCONJ,cc,CC,50,-12.00033474,7,1,1,6,0,3,7,12,2,2,S,12,0,6,6,5,S,12
G7S1,G7010076,0,FALSE,1,TRUE,TRUE,PRON,nsubj,PRP,35,-17.2471199,8,1,2,5,0,1,7,12,4,4,S,4,1,0,0,3,S,12
G7S1,G7010077,0,FALSE,6,FALSE,FALSE,VERB,conj,VBD,12,-21.0947876,9,2,4,3,0,3,7,12,4,4,VP,3,0,0,0,2,VP,3
G7S1,G7010078,0,FALSE,2,FALSE,TRUE,PART,aux,TO,229,-18.36883163,10,1,5,2,0,3,7,12,6,6,S,2,0,0,0,1,VP,2
G7S1,G7010079,6,TRUE,3,FALSE,FALSE,VERB,xcomp,VB,4,0,11,1,0,1,1,4,7,12,7,7,S,2,1,1,1,0,S,12
G7S1,G7010080,4,FALSE,2,TRUE,TRUE,ADV,advmod,RB,34,-3.938964844,1,1,1,6,0,3,7,26,3,3,S,26,0,0,0,25,S,26
G7S1,G7010081,0,FALSE,5,FALSE,FALSE,ADV,advmod,RB,5,-14.76871967,3,2,3,4,0,3,7,26,4,4,NP,3,0,0,0,2,NP,3
G7S1,G7010082,0,FALSE,4,FALSE,TRUE,DET,det,DT,114,-15.40542603,4,1,4,3,0,3,7,26,3,3,NP,3,0,1,1,1,NP,3
G7S1,G7010083,7,FALSE,9,FALSE,FALSE,NOUN,npadvmod,NN,1,-15.37892342,5,3,0,0,1,4,7,26,3,3,NP,3,1,2,2,0,S,26
G7S1,G7010084,0,FALSE,2,FALSE,TRUE,SCONJ,mark,IN,50,-15.02518654,7,1,1,6,0,3,7,26,3,3,SBAR,8,0,0,0,7,SBAR,8
G7S1,G7010085,0,FALSE,3,FALSE,TRUE,DET,det,DT,616,-13.74010658,8,1,2,5,0,3,7,26,5,5,NP,2,0,0,0,1,NP,2
G7S1,G7010086,0,FALSE,3,FALSE,FALSE,NOUN,nsubj,NN,28,-15.41849804,9,1,3,4,0,4,7,26,5,5,NP,2,1,1,1,0,S,7
G7S1,G7010087,0,FALSE,6,FALSE,FALSE,VERB,advcl,VBD,1,-18.37266541,10,2,5,2,0,3,7,26,5,5,VP,5,0,0,0,4,VP,5
G7S1,G7010088,0,FALSE,5,FALSE,TRUE,ADP,prep,IN,3,-10.17931557,11,2,0,0,1,4,7,26,6,6,PP,4,0,0,0,3,S,7
G7S1,G7010089,0,FALSE,3,FALSE,TRUE,DET,det,DT,616,-12.58750725,12,1,1,6,0,3,7,26,5,5,NP,2,0,0,0,1,S,7
G7S1,G7010090,0,FALSE,4,FALSE,FALSE,NOUN,compound,NN,2,-19.06434631,13,1,2,5,0,4,7,26,7,7,NP,3,0,5,1,1,NP,3
G7S1,G7010091,7,FALSE,5,FALSE,FALSE,NOUN,pobj,NNS,6,-18.12491226,14,1,3,4,0,4,7,26,7,7,NP,3,1,6,2,0,S,26
G7S1,G7010092,0,FALSE,1,TRUE,TRUE,PRON,nsubj,PRP,35,-10.83370018,16,1,4,3,0,1,7,26,3,3,S,26,1,15,15,10,S,26
G7S1,G7010093,0,FALSE,5,FALSE,FALSE,VERB,ROOT,VBD,1,-9.517683983,17,2,6,1,0,4,7,26,4,4,VP,6,0,0,0,5,VP,6
G7S1,G7010094,1,FALSE,2,FALSE,TRUE,ADP,prt,RP,32,-11.01038551,18,1,0,0,1,4,7,26,5,5,VP,6,0,1,1,4,VP,6
G7S1,G7010095,0,FALSE,2,FALSE,TRUE,PRON,poss,PRP$,17,-15.21133614,19,1,1,6,0,1,7,26,5,5,NP,4,0,0,0,3,NP,4
G7S1,G7010096,0,FALSE,3,FALSE,FALSE,ADJ,amod,JJ,30,-20.57419968,20,1,2,5,0,4,7,26,5,5,NP,4,0,1,1,2,NP,4
G7S1,G7010097,0,FALSE,6,FALSE,FALSE,NOUN,compound,NN,2,-13.34765911,21,2,4,3,0,4,7,26,5,5,NP,4,0,2,2,1,NP,4
G7S1,G7010098,4,FALSE,5,FALSE,FALSE,NOUN,dobj,NNS,2,-20.85675812,22,1,5,2,0,4,7,26,5,5,NP,4,1,3,3,0,VP,9
G7S1,G7010099,0,FALSE,3,FALSE,TRUE,CCONJ,cc,CC,239,0,23,1,6,1,0,3,7,26,3,3,VP,9,0,6,6,2,VP,9
G7S1,G7010100,0,FALSE,3,FALSE,FALSE,VERB,conj,VBN,5,0,24,1,0,0,1,4,7,26,4,4,VP,2,0,0,0,1,VP,2
G7S1,G7010101,6,TRUE,3,FALSE,TRUE,ADP,prt,RP,32,0,25,1,0,6,1,4,7,26,5,5,VP,2,1,1,1,0,S,26
G7S1,G7010102,0,FALSE,2,TRUE,TRUE,SCONJ,mark,IN,50,-0.04294326901,1,1,1,6,0,3,10,17,3,3,SBAR,7,0,0,0,6,SBAR,7
G7S1,G7010103,0,FALSE,1,TRUE,TRUE,PRON,nsubj,PRP,35,-0.04759049416,2,1,2,5,0,1,10,17,5,5,S,6,1,0,0,5,S,6
G7S1,G7010104,0,FALSE,3,FALSE,TRUE,AUX,aux,VBD,130,-0.004147737287,3,1,3,4,0,3,10,17,5,5,VP,5,0,0,0,4,VP,5
G7S1,G7010105,0,FALSE,9,FALSE,FALSE,VERB,advcl,VBG,1,-3.079452038,4,3,6,1,0,4,10,17,6,6,VP,4,0,0,0,3,VP,4
G7S1,G7010106,0,FALSE,2,FALSE,TRUE,PART,aux,TO,229,-0.0125196958,5,1,0,0,1,3,10,17,8,8,S,3,0,0,0,2,VP,3
G7S1,G7010107,0,FALSE,3,FALSE,FALSE,VERB,xcomp,VB,1,0,6,1,1,6,0,4,10,17,9,9,VP,2,0,0,0,1,VP,2
G7S1,G7010108,7,FALSE,8,FALSE,FALSE,ADV,advmod,RB,1,-14.2580204,7,2,3,4,0,4,10,17,10,10,VP,2,1,1,1,0,S,17
G7S1,G7010109,0,FALSE,1,TRUE,TRUE,PRON,nsubj,PRP,35,-17.94854736,9,1,4,3,0,1,10,17,5,5,S,6,1,0,0,5,S,17
G7S1,G7010110,0,FALSE,5,FALSE,FALSE,VERB,ROOT,VBD,6,-11.78225231,10,1,5,2,0,2,10,17,3,3,VP,7,0,0,0,6,VP,7
G7S1,G7010111,0,FALSE,3,FALSE,TRUE,DET,det,DT,616,-11.78718472,11,1,6,1,0,2,10,17,5,5,NP,2,0,0,0,1,NP,2
G7S1,G7010112,0,FALSE,6,FALSE,FALSE,NOUN,dobj,NNS,3,-19.25062561,12,1,0,0,1,2,10,17,5,5,NP,2,1,1,1,0,NP,6
G7S1,G7010113,0,FALSE,2,FALSE,TRUE,ADP,prep,IN,188,-12.77411366,13,1,1,6,0,2,10,17,5,5,PP,2,0,0,0,1,PP,2
G7S1,G7010114,2,FALSE,8,FALSE,FALSE,NOUN,pobj,NNS,3,-16.18585968,14,3,4,3,0,4,10,17,6,6,PP,2,1,1,1,0,NP,6
G7S1,G7010115,0,FALSE,6,FALSE,TRUE,ADP,prep,IN,6,-20.75009727,15,2,6,1,0,2,10,17,5,5,PP,2,0,0,0,1,PP,2
G7S1,G7010116,6,TRUE,2,FALSE,TRUE,PRON,pobj,PRP,12,0,16,1,0,0,1,1,10,17,6,6,PP,2,1,1,1,0,S,17
G7S1,G7010117,0,FALSE,4,TRUE,TRUE,ADP,prep,IN,38,-0.3045428395,1,1,1,6,0,3,13,17,3,3,PP,3,0,0,0,2,PP,3
G7S1,G7010118,0,FALSE,5,FALSE,TRUE,PRON,poss,PRP$,27,-1.442764282,2,1,2,5,0,2,13,17,4,4,NP,2,0,0,0,1,NP,2
G7S1,G7010119,6,FALSE,6,FALSE,FALSE,NOUN,pobj,NN,1,-9.357149124,3,2,4,3,0,2,13,17,4,4,NP,2,1,1,1,0,S,17
G7S1,G7010120,0,FALSE,1,TRUE,TRUE,PRON,nsubj,PRP,35,-14.12723541,5,1,5,2,0,1,13,17,3,3,S,17,1,4,4,12,S,17
G7S1,G7010121,1,FALSE,4,FALSE,FALSE,VERB,ROOT,VBD,3,-17.94501686,6,1,6,1,0,3,13,17,3,3,VP,11,0,0,0,10,VP,11
G7S1,G7010122,0,FALSE,4,FALSE,TRUE,PRON,nsubj,PRP,97,-15.0430336,7,1,0,0,1,2,13,17,6,6,SBAR,10,1,0,0,9,S,10
G7S1,G7010123,0,FALSE,4,FALSE,TRUE,AUX,ccomp,VBD,36,-8.667488098,8,1,1,6,0,2,13,17,6,6,VP,9,0,0,0,8,VP,9
G7S1,G7010124,0,FALSE,3,FALSE,FALSE,ADJ,amod,JJ,30,-8.708069801,9,1,2,5,0,2,13,17,8,8,NP,2,0,0,0,1,NP,2
G7S1,G7010125,6,FALSE,8,FALSE,FALSE,NOUN,attr,NNS,3,-18.91771317,10,3,5,2,0,4,13,17,8,8,NP,2,1,1,1,0,NP,8
G7S1,G7010126,0,FALSE,4,FALSE,TRUE,PRON,nsubjpass,WDT,114,-14.46539497,11,1,6,1,0,2,13,17,9,9,SBAR,6,0,0,0,5,SBAR,6
G7S1,G7010127,0,FALSE,3,FALSE,TRUE,AUX,aux,VBD,68,-12.14852619,12,1,0,0,1,2,13,17,10,10,S,5,0,0,0,4,VP,5
G7S1,G7010128,0,FALSE,4,FALSE,TRUE,AUX,auxpass,VBN,10,-11.79422665,13,1,1,6,0,2,13,17,11,11,VP,4,0,0,0,3,VP,4
G7S1,G7010129,1,FALSE,8,FALSE,FALSE,VERB,relcl,VBN,1,-17.79135513,14,3,4,3,0,4,13,17,12,12,VP,3,0,0,0,2,VP,3
G7S1,G7010130,0,FALSE,4,FALSE,TRUE,ADJ,amod,JJ,18,-20.56958961,15,2,6,1,0,2,13,17,13,13,NP,2,0,0,0,1,NP,2
G7S1,G7010131,5,TRUE,5,FALSE,FALSE,NOUN,npadvmod,NNS,3,0,16,1,0,0,1,4,13,17,13,13,NP,2,1,1,1,0,S,17
G7S1,G7010132,0,FALSE,2,TRUE,TRUE,ADP,prep,IN,164,-1.387892365,1,1,1,6,0,3,7,24,3,3,PP,2,0,0,0,1,PP,2
G7S1,G7010133,6,FALSE,7,FALSE,FALSE,NOUN,pobj,NNS,1,-4.941025734,2,2,3,4,0,3,7,24,4,4,PP,2,1,1,1,0,S,24
G7S1,G7010134,0,FALSE,3,FALSE,TRUE,NUM,nummod,CD,9,-8.495109558,4,1,4,3,0,2,7,24,4,4,NP,2,0,0,0,1,NP,2
G7S1,G7010135,6,FALSE,7,FALSE,FALSE,NOUN,nsubj,NNS,5,-12.34631729,5,2,6,1,0,2,7,24,4,4,NP,2,1,1,1,0,S,24
G7S1,G7010136,0,FALSE,5,FALSE,FALSE,VERB,mark,VBG,9,-13.13390923,7,2,0,0,1,2,7,24,4,4,VP,11,0,0,0,10,VP,11
G7S1,G7010137,0,FALSE,4,FALSE,FALSE,ADV,advmod,RB,6,-9.215228081,8,1,1,6,0,2,7,24,6,6,ADVP,4,0,0,0,3,ADVP,4
G7S1,G7010138,0,FALSE,4,FALSE,TRUE,ADP,prep,IN,38,-14.58408356,9,1,2,5,0,2,7,24,6,6,PP,3,0,0,0,2,PP,3
G7S1,G7010139,0,FALSE,3,FALSE,TRUE,DET,det,DT,616,-12.96738148,10,1,3,4,0,2,7,24,7,7,NP,2,0,0,0,1,NP,2
G7S1,G7010140,2,FALSE,6,FALSE,FALSE,NOUN,pobj,NNS,7,-18.68243217,11,1,4,3,0,2,7,24,7,7,NP,2,1,1,1,0,VP,11
G7S1,G7010141,0,FALSE,5,FALSE,TRUE,ADP,prep,IN,12,-13.39988995,12,2,6,1,0,2,7,24,5,5,PP,6,0,0,0,5,PP,6
G7S1,G7010142,0,FALSE,1,FALSE,TRUE,DET,det,DT,222,-9.259869576,13,1,0,0,1,2,7,24,7,7,NP,4,0,0,0,3,NP,4
G7S1,G7010143,0,FALSE,4,FALSE,FALSE,ADJ,amod,JJ,20,-10.14417362,14,1,1,6,0,2,7,24,7,7,NP,4,0,1,1,2,NP,4
G7S1,G7010144,0,FALSE,5,FALSE,FALSE,NOUN,poss,NN,1,0,15,1,2,5,0,2,7,24,7,7,NP,4,0,2,2,1,NP,4
G7S1,G7010145,7,FALSE,4,FALSE,FALSE,NOUN,pobj,NN,12,-10.09536076,16,1,3,4,0,2,7,24,6,6,NP,5,1,4,4,0,S,24
G7S1,G7010146,0,FALSE,6,FALSE,FALSE,VERB,ROOT,VBD,1,-13.9118042,18,1,4,3,0,2,7,24,3,3,VP,5,0,0,0,4,VP,5
G7S1,G7010147,0,FALSE,2,FALSE,TRUE,PRON,dobj,PRP,12,-17.30624771,19,1,5,2,0,1,7,24,4,4,VP,5,1,1,1,3,VP,5
G7S1,G7010148,0,FALSE,2,FALSE,TRUE,ADP,prep,IN,40,0,20,1,6,1,0,2,7,24,4,4,PP,3,0,0,0,2,PP,3
G7S1,G7010149,0,FALSE,6,FALSE,TRUE,DET,det,DT,3,0,21,2,0,0,1,2,7,24,5,5,NP,2,0,0,0,1,NP,2
G7S1,G7010150,6,TRUE,4,FALSE,TRUE,NOUN,pobj,NN,7,0,22,1,0,6,1,2,7,24,5,5,NP,2,1,1,1,0,S,24
G7S1,G7010151,0,FALSE,8,TRUE,FALSE,VERB,advcl,VBG,1,-4.398465157,1,2,2,5,0,4,7,12,4,4,S,4,0,0,0,3,VP,4
G7S1,G7010152,0,FALSE,2,FALSE,TRUE,PRON,poss,PRP$,17,-0.0009968079394,2,1,3,4,0,1,7,12,5,5,NP,3,0,0,0,2,NP,3
G7S1,G7010153,0,FALSE,4,FALSE,FALSE,ADJ,amod,JJS,4,-0.41464746,3,1,4,3,0,4,7,12,5,5,NP,3,0,1,1,1,NP,3
G7S1,G7010154,7,FALSE,5,FALSE,FALSE,NOUN,dobj,NN,4,-5.189033508,4,1,5,2,0,3,7,12,5,5,NP,3,1,2,2,0,S,12
G7S1,G7010155,0,FALSE,1,TRUE,TRUE,PRON,nsubj,PRP,35,-11.73320675,6,1,6,1,0,1,7,12,3,3,S,12,1,5,5,6,S,12
